"","cell_type","gene","avg_logFC","p_val","p_val_adj","de_family","de_method","de_type","diffexpressed","gene_label"
"108","E15","1700003P14Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"109","E15","1700006A11Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"110","E15","1700006E09Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"111","E15","1700006H21Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"112","E15","1700006J14Rik",-1.94650114368488,0.404093985674422,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"113","E15","1700007F19Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"114","E15","1700007G11Rik",-3.62961123586995,0.104215866763118,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"115","E15","1700007K13Rik",-0.125100918432192,0.909552801027777,1,"pseudobulk","edgeR","LRT","NO",NA
"116","E15","1700007M16Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"117","E15","1700007P06Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"118","E15","1700008B11Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"119","E15","1700008C04Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"120","E15","1700008J07Rik",-1.50455944236986,0.115822941770188,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"121","E15","1700008K24Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"122","E15","1700008N11Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"123","E15","1700008O03Rik",-1.08091038097493,0.107284049366454,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"124","E15","1700008P02Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"125","E15","1700009C05Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"126","E15","1700009J07Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"127","E15","1700009N14Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"128","E15","1700010B08Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"129","E15","1700010D01Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"130","E15","1700010G06Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"131","E15","1700010H22Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"132","E15","1700010I02Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"133","E15","1700010I14Rik",-0.337780346538448,0.751561159866365,1,"pseudobulk","edgeR","LRT","NO",NA
"134","E15","1700010J16Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"135","E15","1700010K23Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"136","E15","1700010K24Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"137","E15","1700010L04Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"138","E15","1700011C11Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"139","E15","1700011D18Rik",-3.25410574502831,0.155868106040492,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"140","E15","1700011H14Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"141","E15","1700011I03Rik",3.82680991001554,0.0334620748278393,1,"pseudobulk","edgeR","LRT","Highlit_up",NA
"142","E15","1700011L03Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"143","E15","1700011L22Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"144","E15","1700011M02Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
