p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.68125692461861e-295,3.43839802149047,0.401,0.062,8.78755144474502e-291,OB_Tac1.Th.Igfbp6,Shisa8
1.12721943847578e-229,3.00700980901016,0.388,0.072,3.69434898766052e-225,OB_Tac1.Th.Igfbp6,Kank3
1.11713200039265e-206,2.83556049268522,0.29,0.044,3.66128841808686e-202,OB_Tac1.Th.Igfbp6,Hspa2
1.79264699449918e-195,3.41953879507837,0.178,0.018,5.87522125977161e-191,OB_Tac1.Th.Igfbp6,Ankrd33b
1.48890625477319e-187,4.59871917691743,0.482,0.142,4.87974135939365e-183,OB_Tac1.Th.Igfbp6,Tac1
2.07549674127543e-176,3.58148791545371,0.142,0.012,6.80223301985608e-172,OB_Tac1.Th.Igfbp6,Crabp2
6.95153624329349e-174,2.84101944746945,0.277,0.046,2.27829648837701e-169,OB_Tac1.Th.Igfbp6,Grasp
3.55149819271009e-163,2.92855794120062,0.196,0.025,1.1639680176788e-158,OB_Tac1.Th.Igfbp6,A830036E02Rik
7.70390711190553e-160,3.02665750096626,0.163,0.018,2.52487851685592e-155,OB_Tac1.Th.Igfbp6,Arhgap27os2
3.24105322203183e-154,2.85697480498131,0.281,0.054,1.06222278298871e-149,OB_Tac1.Th.Igfbp6,Inpp5j
3.98272725538626e-151,3.96734776895469,0.138,0.014,1.30529903068029e-146,OB_Tac1.Th.Igfbp6,Arhgap36
4.02541551490489e-137,2.92370465566487,0.193,0.029,1.31928968085493e-132,OB_Tac1.Th.Igfbp6,Tmod1
6.57033441918251e-121,2.91570558607329,0.142,0.018,2.15336140254288e-116,OB_Tac1.Th.Igfbp6,Slc35d3
4.89805466540273e-106,3.72527600069815,0.119,0.015,1.60528843603909e-101,OB_Tac1.Th.Igfbp6,Asb4
1.81764985411915e-81,2.86588879313986,0.116,0.017,5.95716563189009e-77,OB_Tac1.Th.Igfbp6,Jsrp1
1.39405699691468e-72,5.57421452754478,0.117,0.02,4.56888240168816e-68,OB_Tac1.Th.Igfbp6,Gal
7.98244664495431e-70,3.17035894923929,0.124,0.022,2.61616706341732e-65,OB_Tac1.Th.Igfbp6,Scgn
0,2.23573097702013,0.7,0.177,0,Homer2.Nrip3,Pcp4l1
2.63003197449816e-263,2.12235048742718,0.81,0.331,8.61966679322026e-259,Homer2.Nrip3,Rprml
3.1812441671142e-222,2.11509930272867,0.486,0.116,1.04262096333001e-217,Homer2.Nrip3,Kcnj4
1.13519575111233e-173,2.06655369694347,0.547,0.182,3.72049055469553e-169,Homer2.Nrip3,Nrip3
1.94001887882915e-123,2.69004869721761,0.159,0.023,6.35821787347466e-119,Homer2.Nrip3,Iigp1
6.97984127174677e-97,2.54714890324688,0.246,0.065,2.28757317840229e-92,Homer2.Nrip3,Nexn
2.34986211348055e-89,1.95570774530316,0.271,0.079,7.70143809072114e-85,Homer2.Nrip3,Actn2
3.1155454001629e-88,1.99021836928561,0.229,0.058,1.02108884944939e-83,Homer2.Nrip3,Sept4
5.7251540717947e-86,2.4068644926316,0.137,0.024,1.87636199548999e-81,Homer2.Nrip3,Sp7
2.98670060706675e-79,2.02350723755803,0.251,0.074,9.78861256960055e-75,Homer2.Nrip3,Kank3
1.25089187465287e-64,2.05489012013659,0.18,0.048,4.09967302998732e-60,Homer2.Nrip3,Drd1
9.98565419656681e-59,1.92504132640142,0.118,0.025,3.27269830638281e-54,Homer2.Nrip3,Adamts19
1.99148130897572e-56,2.38333143244071,0.108,0.022,6.52688084203702e-52,Homer2.Nrip3,Frem2
1.26297525168164e-53,2.33113864421085,0.107,0.023,4.13927508986142e-49,Homer2.Nrip3,Arhgap22
4.2447176578486e-48,2.17001198701498,0.14,0.039,1.3911637651833e-43,Homer2.Nrip3,Lrrc10b
6.65498401762211e-45,1.89153412822574,0.174,0.057,2.18110446193547e-40,Homer2.Nrip3,Lpl
2.66702443772352e-44,2.07013595137197,0.11,0.027,8.74090589219505e-40,Homer2.Nrip3,Adamts20
6.62672722012271e-44,2.23708441601956,0.143,0.042,2.17184357912302e-39,Homer2.Nrip3,Arhgdib
3.44572614642502e-42,2.15615409234612,0.118,0.032,1.12930228722934e-37,Homer2.Nrip3,Mme
7.86760997902145e-41,2.1433555387877,0.101,0.025,2.57853049452449e-36,Homer2.Nrip3,Acvr1c
0,3.90705190766789,0.923,0.278,0,RMS_Notch1.Ccnd2,Ccnd2
0,4.81178213344668,0.676,0.069,0,RMS_Notch1.Ccnd2,Vim
0,2.91182909435395,0.736,0.165,0,RMS_Notch1.Ccnd2,Nfia
0,4.52833027906869,0.546,0.062,0,RMS_Notch1.Ccnd2,Mdk
0,3.71350580445923,0.544,0.073,0,RMS_Notch1.Ccnd2,Ezr
0,3.0841907043486,0.468,0.088,0,RMS_Notch1.Ccnd2,Insm1
0,4.20059152177132,0.378,0.03,0,RMS_Notch1.Ccnd2,Clic1
0,3.26546586023833,0.326,0.039,0,RMS_Notch1.Ccnd2,St18
0,4.02538545439415,0.27,0.02,0,RMS_Notch1.Ccnd2,E130114P18Rik
0,5.54988469106957,0.2,0.005,0,RMS_Notch1.Ccnd2,Tead2
0,4.04600179545155,0.186,0.014,0,RMS_Notch1.Ccnd2,Msn
3.58743774213945e-272,3.72552265464983,0.176,0.014,1.17574684560878e-267,RMS_Notch1.Ccnd2,Lockd
1.47641628788602e-233,4.34599390185284,0.172,0.017,4.83880674191763e-229,RMS_Notch1.Ccnd2,Ube2c
3.78639854722237e-231,3.13528797482547,0.228,0.029,1.24095425986666e-226,RMS_Notch1.Ccnd2,Rftn2
4.58015764110744e-230,3.27018830051094,0.207,0.024,1.50110086529655e-225,RMS_Notch1.Ccnd2,E130006D01Rik
6.11930337718852e-221,3.96731589939332,0.123,0.008,2.00554048883977e-216,RMS_Notch1.Ccnd2,Apobec3
1.12428337315811e-213,3.00593596081588,0.226,0.031,3.6847263271884e-209,RMS_Notch1.Ccnd2,Notch1
8.3288827349142e-161,3.96916610736071,0.123,0.012,2.72970802754078e-156,RMS_Notch1.Ccnd2,Tspo
2.93052573334431e-112,3.28829983462147,0.123,0.017,9.60450503846263e-108,RMS_Notch1.Ccnd2,Lgals1
1.34934003515293e-94,3.22804237953403,0.101,0.014,4.42232703121022e-90,RMS_Notch1.Ccnd2,Acads
0,4.65421536871382,0.756,0.104,0,OT_Isl1.Npy1r,Isl1
0,6.54060305971426,0.463,0.024,0,OT_Isl1.Npy1r,Pkib
0,4.94742474363334,0.477,0.042,0,OT_Isl1.Npy1r,Npy1r
5.46999455590246e-201,6.25528886906311,0.114,0.004,1.79273601575147e-196,OT_Isl1.Npy1r,Spp1
3.35295103645282e-194,4.10789306955353,0.474,0.072,1.09889617268705e-189,OT_Isl1.Npy1r,Pou3f1
5.24894114959807e-168,4.47479584779499,0.259,0.024,1.72028797236927e-163,OT_Isl1.Npy1r,Gpr149
5.8065349397144e-150,4.47692620729232,0.188,0.014,1.903033761142e-145,OT_Isl1.Npy1r,Wnt2
2.13115026434682e-145,3.74579668219623,0.341,0.048,6.98463187637026e-141,OT_Isl1.Npy1r,Prok2
4.04060938954241e-142,3.44762855811755,0.25,0.026,1.32426932132863e-137,OT_Isl1.Npy1r,Gm2694
1.08703591104517e-122,2.85534678373803,0.812,0.41,3.56265149485945e-118,OT_Isl1.Npy1r,Lmo4
2.37579251468275e-121,3.88838126569047,0.236,0.027,7.78642238762126e-117,OT_Isl1.Npy1r,Cbln1
2.45232982470885e-119,4.05131458291736,0.412,0.085,8.0372657675008e-115,OT_Isl1.Npy1r,Fstl1
1.94951167963683e-113,5.47194699716173,0.102,0.005,6.38932957884174e-109,OT_Isl1.Npy1r,Gm13112
6.38377790359588e-108,3.07106815085574,0.381,0.076,2.09221937012451e-103,OT_Isl1.Npy1r,Col11a1
2.35487565469211e-67,3.19429846221285,0.358,0.099,7.71786947068793e-63,OT_Isl1.Npy1r,Naf1
7.34746294072568e-65,3.10507658709057,0.25,0.051,2.40805750419343e-60,OT_Isl1.Npy1r,Cartpt
1.3340401856558e-54,3.21011914320875,0.205,0.04,4.37218330446832e-50,OT_Isl1.Npy1r,RP24-236C17.2
8.84721434846416e-44,4.31382048093548,0.114,0.017,2.89958603056565e-39,OT_Isl1.Npy1r,Ptger3
1.9709620012254e-30,2.9359550594692,0.128,0.027,6.45963086281611e-26,OT_Isl1.Npy1r,RP24-236C17.3
2.39244222483921e-25,3.41081646252358,0.108,0.024,7.84099014768804e-21,OT_Isl1.Npy1r,Gm26604
0,3.55927059584222,0.946,0.178,0,ITC_Foxp2.Cux2,Foxp2
0,2.20228635701294,0.725,0.266,0,ITC_Foxp2.Cux2,Lypd1
2.55679979563214e-299,2.88534556758093,0.722,0.326,8.37965565020476e-295,ITC_Foxp2.Cux2,Erbb4
3.36283249305104e-223,4.03716693491065,0.114,0.01,1.10213472127255e-218,ITC_Foxp2.Cux2,Hmcn1
7.84685897542099e-223,2.47580838300942,0.31,0.075,2.57172956060448e-218,ITC_Foxp2.Cux2,Cadps2
6.65353849418776e-197,2.28410624751646,0.467,0.184,2.1806307060851e-192,ITC_Foxp2.Cux2,Sphkap
3.7061068617214e-189,2.6506282478176,0.337,0.101,1.21463946286057e-184,ITC_Foxp2.Cux2,Cux2
3.0657943454713e-167,2.62838261243602,0.665,0.403,1.00478343878476e-162,ITC_Foxp2.Cux2,Kcnd2
1.03831794778342e-162,2.95216558775826,0.428,0.176,3.40298324206538e-158,ITC_Foxp2.Cux2,Grm8
